"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Test Address Line 1 input functionality","Stashfin Web Automation Suite","Fri Jul 11 08:29:50 IST 2025","skipped","Fri Jul 11 08:29:50 IST 2025","testClassPool.PersonalDetailsTest","Stashfin Web Test Run","testClassPool.PersonalDetailsTest","TC09_testAddressLine1Input"
"","1","Verify placeholder texts are displayed","Stashfin Web Automation Suite","Fri Jul 11 08:32:10 IST 2025","skipped","Fri Jul 11 08:32:10 IST 2025","testClassPool.EnterYourBankAccountDetailsTest","Stashfin Web Test Run","testClassPool.EnterYourBankAccountDetailsTest","TC10_verifyPlaceholderTextsDisplayed"
"","1","Verify all required elements are present on Just a few more details to proceed page","Stashfin Web Automation Suite","Fri Jul 11 08:30:00 IST 2025","skipped","Fri Jul 11 08:30:00 IST 2025","testClassPool.PersonalDetailsTest","Stashfin Web Test Run","testClassPool.PersonalDetailsTest","TC20_verifyAllRequiredElementsPresent"
"","1","Test form submission with valid data","Stashfin Web Automation Suite","Fri Jul 11 08:29:57 IST 2025","skipped","Fri Jul 11 08:29:57 IST 2025","testClassPool.PersonalDetailsTest","Stashfin Web Test Run","testClassPool.PersonalDetailsTest","TC17_testFormSubmissionWithValidData"
"","1","Verify powered by text is visible","Stashfin Web Automation Suite","Fri Jul 11 08:29:47 IST 2025","skipped","Fri Jul 11 08:29:47 IST 2025","testClassPool.PersonalDetailsTest","Stashfin Web Test Run","testClassPool.PersonalDetailsTest","TC05_verifyPoweredByTextVisible"
"","2","Verify AA OTP Page Elements and OTP Submission","Stashfin Web Automation Suite","Fri Jul 11 08:31:21 IST 2025","skipped","Fri Jul 11 08:31:21 IST 2025","testClassPool.AAOtpPageTest","Stashfin Web Test Run","testClassPool.AAOtpPageTest","testAAOtpPageElementsAndSubmission"
"","1","Test form validation with invalid PIN code","Stashfin Web Automation Suite","Fri Jul 11 08:29:58 IST 2025","skipped","Fri Jul 11 08:29:58 IST 2025","testClassPool.PersonalDetailsTest","Stashfin Web Test Run","testClassPool.PersonalDetailsTest","TC18_testFormValidationWithInvalidPinCode"
"","0","setUp","Default Suite","Fri Jul 11 10:19:06 IST 2025","broken","Fri Jul 11 10:19:06 IST 2025","testClassPool.DatabaseOperationsTest","stashfin-website","testClassPool.DatabaseOperationsTest","setUp"
"","1","Test Rented radio button selection","Stashfin Web Automation Suite","Fri Jul 11 08:29:53 IST 2025","skipped","Fri Jul 11 08:29:53 IST 2025","testClassPool.PersonalDetailsTest","Stashfin Web Test Run","testClassPool.PersonalDetailsTest","TC12_testRentedRadioButtonSelection"
"","1","testFillFormAndContinue","Stashfin Web Automation Suite","Fri Jul 11 08:29:03 IST 2025","skipped","Fri Jul 11 08:29:03 IST 2025","testClassPool.JustAFewMoreDetailsToProccedTest","Stashfin Web Test Run","testClassPool.JustAFewMoreDetailsToProccedTest","testFillFormAndContinue"
